Dates	Week	Week Starting Weight	Approximate weight at the end of each week	Weekly Change	Week Starting Fat Mass	Week Ending Fat Mass	Change in Fat Mass	Cumulative	Week Starting Fat-Free Mass	Week Ending Fat-Free Mass	Change in Fat-Free Mass	Week's Ending Body Fat %	Average Daily Energy Balance Target	Average Total Daily Energy Expenditure	Average Daily Energy Target	Energy Availability (kcal/kg of FFM)
1/19/2025	1	132.5	133.2	0.66	33.1	33.3	0.20	0.2	99.4	99.8	0.46	25.0	331	1923	2254	44
1/26/2025	2	133.2	133.8	0.67	33.3	33.5	0.20	0.4	99.8	100.3	0.47	25.1	333	1926	2259	44
2/2/2025	3	133.8	134.5	0.67	33.5	33.7	0.20	0.6	100.3	100.8	0.47	25.1	335	1930	2265	44
2/9/2025	4	134.5	135.2	0.67	33.7	33.9	0.20	0.8	100.8	101.2	0.47	25.1	336	1934	2270	44
2/16/2025	5	135.2	135.8	0.68	33.9	34.1	0.20	1.0	101.2	101.7	0.47	25.1	338	1938	2276	44
2/23/2025	6	135.8	136.5	0.68	34.1	34.3	0.20	1.2	101.7	102.2	0.48	25.2	340	1942	2281	44
3/2/2025	7	136.5	137.2	0.68	34.3	34.5	0.20	1.4	102.2	102.7	0.48	25.2	341	1946	2287	44
3/9/2025	8	137.2	137.9	0.69	34.5	34.8	0.21	1.6	102.7	103.1	0.48	25.2	343	1949	2292	44
3/16/2025	9	137.9	138.6	0.69	34.8	35.0	0.21	1.8	103.1	103.6	0.48	25.2	345	1953	2298	44
3/23/2025	10	138.6	139.3	0.69	35.0	35.2	0.21	2.0	103.6	104.1	0.49	25.2	346	1957	2304	44
3/30/2025	11	139.3	140.0	0.70	35.2	35.4	0.21	2.2	104.1	104.6	0.49	25.3	348	1961	2309	43
4/6/2025	12	140.0	140.7	0.70	35.4	35.6	0.21	2.5	104.6	105.1	0.49	25.3	350	1965	2315	43
4/13/2025	13	140.7	141.4	0.70	35.6	35.8	0.21	2.7	105.1	105.6	0.49	25.3	352	1969	2321	43
4/20/2025	14	141.4	142.1	0.71	35.8	36.0	0.21	2.9	105.6	106.1	0.49	25.3	353	1973	2327	43
4/27/2025	15	142.1	142.8	0.71	36.0	36.2	0.21	3.1	106.1	106.6	0.50	25.4	355	1977	2332	43
5/4/2025	16	142.8	143.5	0.71	36.2	36.4	0.21	3.3	106.6	107.1	0.50	25.4	357	1981	2338	43
5/11/2025	17	143.5	144.2	0.72	36.4	36.7	0.22	3.5	107.1	107.6	0.50	25.4	359	1985	2344	43
5/18/2025	18	144.2	144.9	0.72	36.7	36.9	0.22	3.7	107.6	108.1	0.50	25.4	361	1989	2350	43
5/25/2025	19	144.9	145.7	0.72	36.9	37.1	0.22	4.0	108.1	108.6	0.51	25.5	362	1993	2356	43
6/1/2025	20	145.7	146.4	0.73	37.1	37.3	0.22	4.2	108.6	109.1	0.51	25.5	364	1998	2362	43
6/8/2025	21	146.4	147.1	0.73	37.3	37.5	0.22	4.4	109.1	109.6	0.51	25.5	366	2002	2368	43
6/15/2025	22	147.1	147.9	0.74	37.5	37.8	0.22	4.6	109.6	110.1	0.51	25.5	368	2006	2374	43
6/22/2025	23	147.9	148.6	0.74	37.8	38.0	0.22	4.8	110.1	110.6	0.52	25.6	370	2010	2380	42
6/29/2025	24	148.6	149.3	0.74	38.0	38.2	0.22	5.1	110.6	111.1	0.52	25.6	372	2014	2386	42
